resolution,fr-q,size
960,05-18,53821344
1280,05-18,53831798
1600,05-18,53832196
1920,05-18,53825934
960,05-23,36614328
1280,05-23,52142554
1600,05-23,53819162
1920,05-23,53826144
960,05-28,17815906
1280,05-28,27295004
1600,05-28,37484144
1920,05-28,49331914
960,05-33,8200378
1280,05-33,11934932
1600,05-33,16155984
1920,05-33,24174164
960,05-38,4121468
1280,05-38,5728068
1600,05-38,7318654
1920,05-38,9828806
960,05-43,2071948
1280,05-43,2898744
1600,05-43,3690994
1920,05-43,4760102
960,10-18,26983924
1280,10-18,26978266
1600,10-18,26975610
1920,10-18,26978292
960,10-23,24665664
1280,10-23,26975318
1600,10-23,26979434
1920,10-23,26976216
960,10-28,11112348
1280,10-28,16665262
1600,10-28,23608988
1920,10-28,26962018
960,10-33,5313296
1280,10-33,7449554
1600,10-33,9829098
1920,10-33,14620090
960,10-38,2698604
1280,10-38,3730212
1600,10-38,4819654
1920,10-38,6403502
960,10-43,1339174
1280,10-43,1885778
1600,10-43,2465326
1920,10-43,3173380
960,15-18,18041506
1280,15-18,18042792
1600,15-18,18039858
1920,15-18,18038912
960,15-23,18016222
1280,15-23,18028720
1600,15-23,18034274
1920,15-23,18039850
960,15-28,9077130
1280,15-28,13538386
1600,15-28,17926934
1920,15-28,18023994
960,15-33,4382258
1280,15-33,6161870
1600,15-33,8020138
1920,15-33,10998746
960,15-38,2140926
1280,15-38,2971506
1600,15-38,3797230
1920,15-38,4805802
960,15-43,1061538
1280,15-43,1506618
1600,15-43,1962896
1920,15-43,2440038
960,30-18,9103812
1280,30-18,9103164
1600,30-18,9102660
1920,30-18,9101526
960,30-23,9072996
1280,30-23,9085678
1600,30-23,9098250
1920,30-23,9100812
960,30-28,6246948
1280,30-28,8685324
1600,30-28,9066376
1920,30-28,9078046
960,30-33,3025824
1280,30-33,4146076
1600,30-33,5258068
1920,30-33,7128088
960,30-38,1464246
1280,30-38,2019562
1600,30-38,2564748
1920,30-38,3321970
960,30-43,748510
1280,30-43,1075212
1600,30-43,1412476
1920,30-43,1815566
